Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
DD,2020-05-05,0.04002063494403,0.0917733760716585,0.2176758441621033,0.097384178352461,-0.0922314889771246,0.1496957706031637,-0.09223148897712467
DD,2020-07-30,-0.0303233523608938,0.0398222661736461,0.0782599333373059,0.2126454479655885,0.2875108778946998,0.2187536723172745,0.28751087789469987
DD,2020-10-29,0.0009010418117758,-0.0649532058921992,-0.0405769192340178,0.5178177468102533,0.1911771117834968,0.2840414409610148,0.1911771117834968
DD,2021-02-09,-0.0354993473119263,-0.0349444618517877,0.0313300908235347,0.4285118565535099,0.4474287821277199,0.197878933683264,0.4474287821277199
DD,2021-05-04,0.0207055471268288,0.0608484409789044,-0.0502602455528293,0.3769713084616582,0.4598275998569633,0.1298205143011125,0.45982759985696336
DD,2021-08-03,0.0193693905572661,0.0066416216554058,-0.0730466424250472,0.4327164096373165,0.546485078096871,0.3135970673487936,0.546485078096871
DD,2021-11-02,0.0261381238902538,0.0045398146823095,0.0570896292591601,0.4856125085608889,0.4738941476176226,0.288207047947328,0.47389414761762266
DD,2022-02-08,0.017919258602408,0.0205076066979368,-0.012344858045887,0.443673085133878,0.6283571337239788,0.3029416275218916,0.6283571337239788
DD,2022-05-03,-0.0027815313369364,0.015177701737493,-0.0070400900258637,0.3547297201713453,0.2426098196252358,0.1989046603951159,0.24260981962523584
DD,2022-08-02,-0.0079946021089396,0.0162819102940925,0.0019703292894448,0.2202391494951823,0.3305428772408345,0.1943756285690172,0.3305428772408345
DD,2022-11-08,0.0225727689764904,0.0325514242164479,0.0541170411082755,0.159639782134811,0.2597549325903907,0.1208020829359478,0.25975493259039073
DD,2023-02-07,-0.0133038618014516,-0.040267392653529,-0.124834275983498,0.1771520142475582,0.2256790307566369,0.1337192775799471,0.2256790307566369
DD,2023-05-02,-0.0025945903124941,-0.0187853138058,-0.0352990884666812,0.3104293909681477,0.0305317400583537,0.1154211282426253,0.030531740058353726
DD,2023-08-02,0.0239224351968951,0.0198911355379497,0.0194320898057094,0.2166366236232631,0.137389842909802,0.14521832920931,0.13738984290980202
DD,2023-11-01,0.0030608547924943,-0.0128772803440064,-0.0215035579952528,0.1222726093960746,-0.0902467008986613,0.0996584528284375,-0.09024670089866131
DD,2024-02-06,0.0183770087019355,0.0454607347624604,0.0918093412954339,0.256158849059211,-0.0344527436811538,0.2050718198480199,-0.03445274368115387
DD,2024-05-01,-0.0172568038225528,-0.0330699043396727,-0.0056737634082302,0.3329351972075501,0.1867631848092258,0.2767763180228808,0.18676318480922582
DD,2024-07-31,-0.0328274850119902,-0.053868528262179,-0.0461518718922897,0.4289460058788065,0.5301880033091366,0.2308852332800439,0.5301880033091366
DD,2024-11-05,-0.0453316903832266,-0.0711612029414433,-0.1132492382101316,0.478350030220826,0.7089333824202713,0.2916044018952297,0.7089333824202713
