Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
GS,2020-04-15,-0.07164179104477618,63499563285,-0.0047619901365152,0.0029778896699218,0.0414260933558625,-0.1777895111266501,0.3344821676292627,0.2563111888111888
GS,2020-07-15,0.5768261964735515,77194709132,-0.0334456922220456,-0.0781535132310742,-0.134076007507805,-0.0377664274084184,0.2714635922268604,0.1607173909887355
GS,2020-10-14,0.7378815080789944,75197879155,-0.0001543783349782,-0.0121190596666954,0.0875025292958988,0.2016543362774447,0.3407827775906045,0.317146413397814
GS,2021-01-19,0.6171352074966533,104911718823,-0.0284569561508791,-0.0305314750566528,0.1327322627400298,0.3726391484014306,0.5960319550795545,0.3279896758613728
GS,2021-04-14,0.8199608610567515,117640778658,0.0052387286690032,-0.0041855984473957,-0.0099973376555655,0.3546177034741325,0.3903362918619987,0.301939210239637
GS,2021-07-13,0.46679687499999994,130953832496,-0.0325695192730532,-0.0386127702430244,-0.0273236068245233,0.4405240469923215,0.5370517575518015,0.3373794594712446
GS,2021-10-15,0.46660117878192536,140743860375,-0.0116213265688647,-0.016590990389021,-0.1004728604200211,0.5160954700237261,0.4854504786841913,0.384127896630813
GS,2022-01-18,-0.08078231292517,124465278582,0.0235763070471216,0.038777342694727,0.0194748340953762,0.5383204609426177,0.6545290371287609,0.3700136410920724
GS,2022-04-14,0.21034870641169845,114182198713,0.0467610241492219,0.0246345158258643,0.1132572394082765,0.2207903010610854,0.2112200850923849,0.3037662524509895
GS,2022-07-18,0.1747720364741642,106284526794,0.0429269788155086,0.0355015916141492,0.0718759246688287,0.065793794607902,0.1276690707973877,0.1552823554153522
GS,2022-10-18,0.07282184655396613,109690575000,0.0249845576066752,0.0624221525607343,0.0990671867131316,0.555318329136563,0.3124231115241805,0.3931972961635067
GS,2023-01-17,-0.3941605839416059,121282272000,-0.0250738937166258,0.0041639316110517,-0.0541940779823397,0.3449023661015729,0.2159101458696218,0.1842307619871571
GS,2023-04-18,0.21851851851851847,114297393000,0.0256263320229999,-0.0001960338729132,-0.0453229025984664,0.210412628432952,0.274003347014138,0.3440347085675678
GS,2023-07-19,-0.03144654088050317,115344285000,0.0592859359164011,0.0549624456660214,0.0225482274486531,0.2420942789526307,0.1600897032083179,0.1812723326066113
GS,2023-10-17,0.030131826741996263,103852152000,0.0088616970917905,0.0352018165232101,0.0906654585760119,0.3636719094201534,0.169314120793525,0.3372963096639755
GS,2024-01-16,0.5612535612535615,127679020000,-0.012624716814353,-0.0187374802532339,-0.0238531804569728,0.5175894125247549,0.4046476987804229,0.3970711222670244
GS,2024-04-15,0.35280373831775697,132210224000,0.0149123456327564,0.0557643598139844,0.0711751017858175,0.5581997016262696,0.3315502851898152,0.4775083599883687
GS,2024-07-15,0.033573141486810475,162337454000,-0.003228483252609,0.0116727144849321,-0.0097106900535049,0.3485237176356219,0.7198046730711358,0.4165770699921357
GS,2024-10-15,0.21915820029027586,172280924000,-0.0014762092993064,-0.0155589085907451,0.0728995278041685,0.4964263524269541,0.3156955316538668,0.3199502803795834
