Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
GE,2020-04-29,-0.0134312431506886,-0.0708306127217037,0.0604434418614623,0.0241762359597025,-0.0644867137419029,0.048156470057853,-0.06448671374190292
GE,2020-07-29,-0.0810987180320518,-0.0011268141962463,-0.0490132282227568,0.1941325964777791,0.028563658535829,0.0953416825720535,0.028563658535829064
GE,2020-10-28,0.0113817282246839,0.1132408051096264,0.4206618070026539,0.482907155326347,0.1505249823096993,0.231482376322973,0.15052498230969938
GE,2021-01-26,-0.0325311478264651,-0.0205384151235156,0.0673442529833422,0.358565097053095,0.1280033766639352,0.2528820399390135,0.12800337666393524
GE,2021-04-27,-0.0400616888954632,-0.068369829304573,-0.1167500255506681,0.4203767820820157,0.2423740327599105,0.3493536013420846,0.2423740327599105
GE,2021-07-27,-0.0129537234720189,-0.0043831762390897,-0.0757480805324577,0.5146712769605006,0.6633288171961791,0.4685877216787302,0.6633288171961791
GE,2021-10-26,-0.0290760122667196,0.0166718818294761,-0.0885480458255696,0.4719481601693619,0.5615618365308858,0.2694299318502807,0.5615618365308858
GE,2022-01-25,-0.0091777224557454,0.0488059610399431,0.0850174685944336,0.5268763473876941,0.2931251831762723,0.3797736545970862,0.29312518317627234
GE,2022-04-26,-0.0656451544688783,-0.0437282136454526,-0.0216807994281573,0.4184343144809295,0.54739787815835,0.2705687222930989,0.54739787815835
GE,2022-07-26,-0.018568287911929,0.0001407449668164,0.0264106279105127,0.4196471067257875,0.4476847402926197,0.320689967748036,0.4476847402926197
GE,2022-10-25,0.063434083153959,0.1608221313909969,0.1652297094472555,0.4172399600130232,0.5819679176978733,0.3895228380629288,0.5819679176978733
GE,2023-01-24,0.0138838916453623,-0.0319545129241729,0.0288849418849265,0.5065689901791758,0.699787461233814,0.2283938532968366,0.699787461233814
GE,2023-04-25,-0.0286531829370661,-0.0317464637121011,-0.1073926357326856,0.6850922154639727,0.7249430026603128,0.4566270366779388,0.7249430026603128
GE,2023-07-25,-0.0381166654841983,-0.0555020956590033,-0.1317794829871003,0.6230580624938412,0.7700285070417038,0.4230579580717014,0.7700285070417038
GE,2023-10-24,-0.0380237199141851,-0.0551312409267111,-0.0432814827918545,0.535635340838767,0.833125954075438,0.3317254798772826,0.833125954075438
GE,2024-01-23,0.0010353771191426,0.0289306678422514,0.1276022366501077,0.5476145730740073,0.6666559482067475,0.2114389479373086,0.6666559482067475
GE,2024-04-23,-0.01343428266441,-0.006012125779337,-0.1144075525754346,0.6459493587496147,0.7728998342017899,0.4652644959974772,0.7728998342017899
GE,2024-07-23,0.0014417560336414,-0.0137004414311422,-0.1130982759496776,0.6100209752043289,0.4224932864070958,0.3817680292840331,0.4224932864070958
GE,2024-10-22,0.0209767158662117,-0.0025343120837789,-0.054307642982892,0.548295820502959,0.6251938356037001,0.319433031795943,0.6251938356037001
