Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
EQIX,2020-05-06,0.0384615384615383,59731839570,-0.037759435083307,-0.0868400370323509,-0.0855219067491714,0.4767305491683457,0.6665589565952288,0.3100100563690011
EQIX,2020-07-30,0.0,69086627700,-0.003268179200688,-0.0655462710456738,-0.1240071171237479,0.4875764870373822,0.6079623691925334,0.2532856991942532
EQIX,2020-10-28,0.0746268656716418,67375665910,-0.0355097419500646,-0.0679871687584579,-0.2017530552481491,0.5318513146074474,0.6902151753945934,0.341277410372433
EQIX,2021-02-10,0.0194690265486724,67086830000,-0.0870776207286322,-0.1314843551379704,-0.0770075864129092,0.5836333555681075,0.5270164872852241,0.3231183789527154
EQIX,2021-04-29,0.0,63298659840,0.0178148680112408,0.0454055389807212,0.1954666744957397,0.6659471218577556,0.7014990137057387,0.3449355824586348
EQIX,2021-07-28,0.0431547619047619,75149143980,-0.0181434250652361,-0.045549888845772,-0.003341367624171,0.6019860168545851,0.5555469296976543,0.3851129283156543
EQIX,2021-11-03,0.0373692077727952,75610291200,-0.0689686244275191,-0.0629303178486342,-0.0665269864823326,0.515922663103592,0.4515254455267554,0.3412797986971426
EQIX,2022-02-16,-0.0079744816586921,61141530180,0.0230965836463313,0.0773330698219025,0.1024791535318148,0.6351085773880483,0.746108959608633,0.4555149479146498
EQIX,2022-04-27,-0.0041724617524339,65354744400,-0.0107263916230082,-0.0778132280947017,-0.0032872873881554,0.5511431929938075,0.7051823790701658,0.4626255330480682
EQIX,2022-07-27,0.0383561643835616,59935490160,0.0465630664461864,0.050941778983217,0.0258441871461268,0.4531169332995187,0.5260690650134877,0.383753750764898
EQIX,2022-11-02,0.0751043115438108,50845720250,0.0893722177060215,0.1233942570723626,0.2052619697400456,0.4697240819198283,0.4938600366846011,0.3624385836894958
EQIX,2023-02-15,0.0395894428152492,67613159750,0.0029345152734449,-0.0174139015849364,-0.0190611383060581,0.5745632286963598,0.7373356498221607,0.4246091663230317
EQIX,2023-05-03,0.0845959595959595,65252822050,0.0452398475784792,0.018403183940359,0.011004114573228,0.5226270861851383,0.5018517705055908,0.156473217381488
EQIX,2023-08-02,0.0705725699067908,75473835290,-0.0399221963172762,-0.0403570217693642,-0.0292781610601274,0.4507033543253268,0.3651992164973909,0.2424202764149814
EQIX,2023-10-25,0.0513478818998715,64313400320,0.0527871780802808,0.0619138223238185,0.0824039930542179,0.5602156282011895,0.537530648313113,0.371760080048424
EQIX,2024-02-14,0.0068965517241379,78837958650,0.0332361570490495,0.0550903656123626,-0.0427790402146509,0.5989946571036169,0.5409770704852439,0.199946956963128
EQIX,2024-05-09,0.0,73576401468,0.0180109930267545,-0.0052902820640975,-0.0491756924327499,0.4552717517432572,0.4297874505285742,0.2541870917947846
EQIX,2024-08-07,0.0453514739229025,74325091337,0.0242759666318926,-0.0150181927903177,0.0615664359577581,0.5168062698918044,0.547929417487409,0.3123825281270682
EQIX,2024-10-30,0.0402298850574714,86829526680,-0.001198269230339,-0.0330941880139375,0.032293900985547,0.504647515988973,0.6341638234715476,0.363436488048164
